Date,Gas Price,CCI Index
2015 January,2.17,101.073
2015 February,2.308,101.0753
2015 March,2.544,100.9787
2015 April,2.545,100.9239
2015 May,2.832,100.8434
2015 June,2.889,100.8576
2015 July,2.893,100.7427
2015 August,2.745,100.5531
2015 September,2.463,100.3822
2015 October,2.357,100.4114
2015 November,2.249,100.5281
2015 December,2.125,100.6252
2016 January,2.034,100.6383
2016 February,1.833,100.6009
2016 March,2.021,100.5611
2016 April,2.196,100.5831
2016 May,2.324,100.7056
2016 June,2.422,100.6836
2016 July,2.287,100.5368
2016 August,2.218,100.4307
2016 September,2.269,100.4115
2016 October,2.304,100.4885
2016 November,2.246,100.8179
2016 December,2.289,101.1555
